buyer_id,seller_id,price,qty,taker_side
15,17,100.15,64,BUY
59,17,100.15,7,BUY
59,37,100.15,70,BUY
110,100,100.15,46,BUY
110,168,100.15,34,BUY
138,168,100.15,34,BUY
160,168,100.15,2,BUY
160,215,100.15,25,BUY
160,275,100.15,4,BUY
211,275,100.15,35,BUY
211,400,100.15,3,BUY
221,400,100.15,4,BUY
257,400,100.15,10,BUY
257,404,100.15,71,BUY
261,404,100.15,19,BUY
261,441,100.15,69,BUY
268,441,100.15,25,BUY
268,514,100.15,21,BUY
412,514,100.15,17,BUY
452,514,100.15,23,BUY
452,661,100.15,29,BUY
529,661,100.15,45,BUY
529,662,100.15,28,BUY
537,662,100.15,63,BUY
549,662,100.15,7,BUY
575,662,100.15,1,BUY
575,685,100.15,17,BUY
614,685,100.15,41,BUY
620,685,100.15,24,BUY
620,695,100.15,23,BUY
620,747,100.15,53,BUY
648,747,100.15,27,BUY
663,747,100.15,17,BUY
663,892,100.15,42,BUY
710,931,100.15,5,BUY
803,931,100.15,4,BUY
882,931,100.15,8,BUY
882,936,100.15,21,BUY
882,937,100.15,40,BUY
951,937,100.15,49,BUY
951,940,100.15,5,BUY
958,940,100.15,11,BUY
958,989,100.15,66,BUY
958,1051,100.15,17,BUY
958,1065,100.15,1,BUY
958,1084,100.15,1,BUY
962,1084,100.15,38,BUY
984,1149,100.15,9,BUY
1048,1149,100.15,23,BUY
1048,1151,100.15,5,BUY
1063,1151,100.15,48,BUY
1266,1151,100.15,16,BUY
1266,1187,100.15,26,BUY
1266,1212,100.15,20,BUY
1273,1212,100.15,5,BUY
1301,1212,100.15,42,BUY
1320,1212,100.15,28,BUY
1320,1259,100.15,27,BUY
1345,1259,100.15,10,BUY
1345,1278,100.15,2,BUY
1345,1324,100.15,2,BUY
1360,1324,100.15,10,BUY
1360,1334,100.15,32,BUY
1360,1352,100.15,7,BUY
1381,1352,100.15,55,BUY
1393,1352,100.15,30,BUY
1393,1371,100.15,16,BUY
1393,1373,100.15,17,BUY
1393,1428,100.15,8,BUY
1393,1445,100.15,18,BUY
1416,1445,100.15,23,BUY
1416,1446,100.15,13,BUY
1416,1452,100.15,1,BUY
1422,1452,100.15,12,BUY
1466,1452,100.15,7,BUY
1466,1474,100.15,17,BUY
1466,1593,100.15,4,BUY
1489,1593,100.15,83,BUY
1528,1593,100.15,7,BUY
1528,1646,100.15,21,BUY
1528,1650,100.15,30,BUY
1559,1650,100.15,43,BUY
1559,1658,100.15,45,BUY
1614,1658,100.15,25,BUY
1616,1658,100.15,11,BUY
1616,1695,100.15,51,BUY
1616,1738,100.15,31,BUY
1637,1738,100.15,5,BUY
1637,1805,100.15,23,BUY
1637,1806,100.15,44,BUY
1707,1806,100.15,22,BUY
1727,1806,100.15,5,BUY
1727,1854,100.15,54,BUY
1727,1964,100.15,1,BUY
1727,1978,100.15,19,BUY
1735,1978,100.15,40,BUY
1735,1985,100.15,7,BUY
1790,1985,100.15,82,BUY
1849,1985,100.15,10,BUY
1849,2006,100.15,11,BUY
1880,2006,100.15,34,BUY
1880,2061,100.15,7,BUY
1905,2061,100.15,34,BUY
1905,2070,100.15,30,BUY
1905,2132,100.15,18,BUY
1912,2132,100.15,49,BUY
1912,2176,100.15,16,BUY
1944,2176,100.15,15,BUY
1950,2176,100.15,29,BUY
1955,2176,100.15,19,BUY
1955,2237,100.15,34,BUY
1955,2278,100.15,37,BUY
1989,2278,100.15,45,BUY
1989,2302,100.15,41,BUY
1989,2327,100.15,2,BUY
2035,2327,100.15,57,BUY
2099,2327,100.15,24,BUY
2099,2339,100.15,17,BUY
2122,2339,100.15,41,BUY
2122,2395,100.15,48,BUY
2123,2395,100.15,31,BUY
2123,2396,100.15,13,BUY
2123,2451,100.15,29,BUY
2128,2451,100.15,33,BUY
2142,2451,100.15,25,BUY
2142,2529,100.15,20,BUY
2203,2529,100.15,22,BUY
2233,2599,100.15,69,BUY
2233,2600,100.15,4,BUY
2267,2600,100.15,18,BUY
2337,2600,100.15,44,BUY
2337,2634,100.15,7,BUY
2337,2729,100.15,37,BUY
2361,2729,100.15,5,BUY
2365,2729,100.15,52,BUY
2365,2732,100.15,35,BUY
2449,2732,100.15,35,BUY
2449,2742,100.15,57,BUY
2493,2742,100.15,29,BUY
2493,2766,100.15,5,BUY
2515,2766,100.15,48,BUY
2515,2773,100.15,16,BUY
2593,2773,100.15,2,BUY
2616,2773,100.15,71,BUY
2616,2824,100.15,3,BUY
2616,2923,100.15,17,BUY
2616,2932,100.15,7,BUY
2655,2932,100.15,34,BUY
2661,2932,100.15,5,BUY
2782,2932,100.15,7,BUY
2809,2932,100.15,43,BUY
2809,3064,100.15,4,BUY
2841,3064,100.15,52,BUY
2841,3082,100.15,14,BUY
2841,3102,100.15,2,BUY
2841,3153,100.15,9,BUY
2841,3356,100.15,8,BUY
2853,3356,100.15,16,BUY
2853,3460,100.15,33,BUY
2904,3460,100.15,28,BUY
2904,3653,100.15,46,BUY
2951,3653,100.15,45,BUY
2951,3657,100.15,4,BUY
2987,3657,100.15,29,BUY
2993,3657,100.15,1,BUY
2993,3751,100.15,73,BUY
2993,3766,100.15,4,BUY
3065,3766,100.15,32,BUY
3121,3766,100.15,5,BUY
3149,3766,100.15,3,BUY
3156,3766,100.15,8,BUY
3156,3786,100.15,15,BUY
3221,3786,100.15,54,BUY
3319,3786,100.15,6,BUY
3319,3806,100.15,48,BUY
3333,3806,100.15,11,BUY
3333,3867,100.15,30,BUY
3372,3867,100.15,5,BUY
3419,3867,100.15,3,BUY
3432,3867,100.15,29,BUY
3432,3977,100.15,21,BUY
3443,3977,100.15,3,BUY
3443,4010,100.15,34,BUY
3472,4010,100.15,20,BUY
3497,4010,100.15,4,BUY
3497,4062,100.15,93,BUY
3625,4062,100.15,7,BUY
3625,4089,100.15,45,BUY
3825,4089,100.15,38,BUY
3825,4104,100.15,40,BUY
3825,4270,100.15,12,BUY
3856,4270,100.15,25,BUY
3936,4270,100.15,49,BUY
3936,4279,100.15,2,BUY
4040,4279,100.15,85,BUY
4068,4279,100.15,7,BUY
4068,4289,100.15,27,BUY
4098,4289,100.15,17,BUY
4175,4289,100.15,37,BUY
4175,4390,100.15,15,BUY
4180,4390,100.15,69,BUY
4180,4396,100.15,25,BUY
4242,4396,100.15,23,BUY
4242,4442,100.15,11,BUY
4249,4442,100.15,15,BUY
4249,4443,100.15,24,BUY
4316,4443,100.15,3,BUY
4352,4443,100.15,14,BUY
4352,4451,100.15,22,BUY
4352,4453,100.15,21,BUY
4393,4453,100.15,4,BUY
4397,4453,100.15,13,BUY
4397,4479,100.15,69,BUY
4397,4484,100.15,6,BUY
4412,4484,100.15,23,BUY
4412,4495,100.15,73,BUY
4429,4495,100.15,6,BUY
4429,4578,100.15,14,BUY
4429,4626,100.15,38,BUY
4429,4636,100.15,4,BUY
4429,4686,100.15,7,BUY
4445,4686,100.15,21,BUY
4445,4704,100.15,7,BUY
4446,4704,100.15,42,BUY
4446,4885,100.15,17,BUY
4446,4964,100.15,25,BUY
4460,4964,100.15,31,BUY
4463,4964,100.15,15,BUY
4463,4981,100.15,24,BUY
4463,4892,100.15,20,BUY
4463,4881,100.15,19,BUY
4500,4881,100.15,75,BUY
4547,4881,100.15,3,BUY
4547,4905,100.15,37,BUY
4552,4905,100.15,14,BUY
4552,4862,100.15,6,BUY
4552,4985,100.15,20,BUY
4570,4985,100.15,78,BUY
4570,4864,100.15,6,BUY
4570,4847,100.15,16,BUY
4715,4847,100.15,34,BUY
4715,4874,100.15,62,BUY
4757,4874,100.15,26,BUY
4757,4967,100.15,43,BUY
4780,4967,100.15,4,BUY
4780,4856,100.15,74,BUY
4877,4856,100.15,20,BUY
4877,4893,100.15,62,BUY
4898,4893,100.15,13,BUY
4898,4980,100.15,13,BUY
357,4980,100.15,4,BUY
357,4992,100.15,8,BUY
386,4992,100.15,19,BUY
356,4992,100.15,56,BUY
360,4992,100.15,8,BUY
360,4997,100.15,47,BUY
360,4828,100.15,1,BUY
439,4828,100.15,2,BUY
3817,4828,100.15,87,BUY
383,4828,100.15,1,BUY
383,4870,100.15,33,BUY
428,4901,100.15,15,BUY
455,4901,100.15,25,BUY
455,4820,100.15,29,BUY
455,4846,100.15,3,BUY
3809,4846,100.15,5,BUY
342,4846,100.15,33,BUY
423,4846,100.15,28,BUY
391,4846,100.15,18,BUY
391,4876,100.15,80,BUY
3835,4876,100.15,12,BUY
3835,4883,100.15,2,BUY
314,4883,100.15,70,BUY
376,4883,100.15,9,BUY
376,4842,100.15,36,BUY
380,4842,100.15,24,BUY
397,4842,100.15,26,BUY
397,4859,100.15,47,BUY
444,4859,100.15,19,BUY
449,4859,100.15,27,BUY
449,4899,100.15,72,BUY
453,4899,100.15,3,BUY
453,4926,100.15,13,BUY
3752,4926,100.15,7,BUY
3814,4926,100.15,12,BUY
345,4926,100.15,4,BUY
345,4958,100.15,7,BUY
361,4958,100.15,23,BUY
361,4777,100.15,1,BUY
361,4845,100.15,51,BUY
361,4860,100.15,4,BUY
361,4888,100.15,6,BUY
361,4907,100.15,8,BUY
402,4907,100.15,52,BUY
410,4907,100.15,1,BUY
421,4907,100.15,39,BUY
421,4965,100.15,8,BUY
485,4965,100.15,18,BUY
485,4769,100.15,53,BUY
3718,4769,100.15,2,BUY
3718,4871,100.15,21,BUY
3718,4889,100.15,8,BUY
3749,4889,100.15,20,BUY
3749,4891,100.15,2,BUY
3749,4897,100.15,5,BUY
3749,4971,100.15,10,BUY
3865,4971,100.15,14,BUY
3865,1873,100.15,58,BUY
3881,1873,100.15,21,BUY
3881,4800,100.15,6,BUY
3881,4867,100.15,66,BUY
4036,4867,100.15,3,BUY
4036,4873,100.15,54,BUY
4237,4873,100.15,4,BUY
4237,4894,100.15,72,BUY
4237,4915,100.15,22,BUY
324,4915,100.15,22,BUY
324,1913,100.15,2,BUY
385,1913,100.15,27,BUY
385,4822,100.15,28,BUY
385,4829,100.15,24,BUY
411,4922,100.15,2,BUY
416,4922,100.15,18,BUY
479,4922,100.15,7,BUY
486,4922,100.15,54,BUY
486,4961,100.15,16,BUY
486,4969,100.15,1,BUY
2647,4969,100.15,31,BUY
2647,4976,100.15,12,BUY
3788,4976,100.15,43,BUY
3820,4976,100.15,36,BUY
3820,4984,100.15,34,BUY
3820,1844,100.15,24,BUY
3844,1844,100.15,69,BUY
3844,1903,100.15,9,BUY
3892,1903,100.15,39,BUY
3892,4809,100.15,6,BUY
3892,4832,100.15,3,BUY
3892,4853,100.15,32,BUY
3908,4853,100.15,32,BUY
4223,4853,100.15,32,BUY
4223,4896,100.15,56,BUY
4223,4919,100.15,10,BUY
320,4919,100.15,18,BUY
344,4919,100.15,12,BUY
394,4919,100.15,7,BUY
394,4978,100.15,32,BUY
414,4978,100.15,9,BUY
433,4978,100.15,41,BUY
433,4986,100.15,7,BUY
442,4986,100.15,70,BUY
446,4986,100.15,18,BUY
446,1750,100.15,17,BUY
446,1884,100.15,16,BUY
446,1959,100.15,5,BUY
3568,1959,100.15,48,BUY
3663,1959,100.15,5,BUY
3663,4787,100.15,54,BUY
3716,4787,100.15,21,BUY
3716,4825,100.15,59,BUY
3744,4825,100.15,34,BUY
3744,4830,100.15,8,BUY
3744,4902,100.15,13,BUY
3744,4903,100.15,31,BUY
3855,4903,100.15,50,BUY
3855,4931,100.15,2,BUY
3873,4931,100.15,7,BUY
3906,4931,100.15,24,BUY
3906,4939,100.15,4,BUY
4229,4939,100.15,37,BUY
4229,4995,100.15,37,BUY
4247,4995,100.15,23,BUY
4247,4998,100.15,58,BUY
4271,1830,100.15,20,BUY
317,1830,100.15,18,BUY
317,1866,100.15,18,BUY
317,1911,100.15,40,BUY
317,4710,100.15,17,BUY
337,4710,100.15,44,BUY
337,4818,100.15,54,BUY
338,4818,100.15,28,BUY
346,4818,100.15,9,BUY
346,4933,100.15,59,BUY
358,4933,100.15,24,BUY
358,4954,100.15,64,BUY
358,1772,100.15,12,BUY
362,1772,100.15,11,BUY
362,1842,100.15,32,BUY
364,1842,100.15,37,BUY
