bid,ask
99.98,
,
99.92,
99.92,100.04
99.92,100.03
99.92,100.04
99.92,100.04
99.92,100.03
99.92,99.99
99.92,99.99
99.92,99.99
99.92,100.03
99.94,100.03
99.94,100.03
99.94,100.04
99.94,100.09
99.92,100.09
99.92,100.09
99.92,100.09
99.92,100.09
99.92,100.09
99.92,100.1
99.92,100.0
99.96,100.0
99.96,100.0
99.97,100.0
99.97,100.0
99.97,100.0
99.97,100.09
99.97,100.09
99.97,100.07
99.97,100.1
99.97,100.1
99.97,100.1
99.97,100.1
99.97,100.1
99.97,100.1
99.97,100.1
100.0,100.1
100.0,100.04
100.0,100.04
100.02,100.04
100.02,100.04
100.02,100.04
100.02,100.04
100.02,100.04
100.02,100.04
100.02,100.04
100.0,100.01
100.0,100.01
100.0,100.01
100.0,100.04
100.01,100.04
100.01,100.04
100.01,100.04
100.01,100.04
100.01,100.04
100.01,100.04
100.01,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.02,100.05
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.07
100.05,100.07
100.05,100.07
100.08,100.1
100.08,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.11
100.09,100.11
100.09,100.11
100.09,100.11
100.09,100.11
100.09,100.11
100.09,100.11
100.09,100.11
100.09,100.11
100.09,100.12
100.09,100.12
100.09,100.13
100.09,100.13
100.09,100.13
100.09,100.13
100.09,100.13
100.09,100.13
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.09,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.1,100.11
100.1,100.11
100.1,100.11
100.1,100.11
100.1,100.11
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.08,100.1
100.12,100.13
100.12,100.15
100.12,100.15
100.12,100.15
100.12,100.15
100.12,100.15
100.12,100.15
100.12,100.16
100.12,100.16
100.12,100.16
100.12,100.16
100.15,100.16
100.15,100.16
100.15,100.16
100.12,100.15
100.12,100.15
100.12,100.13
100.12,100.13
100.12,100.13
100.12,100.13
100.12,100.13
100.12,100.13
100.12,100.13
100.12,100.13
100.14,100.15
100.14,100.16
100.14,100.16
100.14,100.16
100.14,100.16
100.14,100.16
100.12,100.13
100.12,100.13
100.12,100.16
