buyer_id,seller_id,price,qty,taker_side
6,5,100.03,49,BUY
6,4,100.04,20,BUY
12,9,99.99,27,BUY
12,8,100.03,25,BUY
15,8,100.03,5,BUY
15,4,100.04,59,BUY
16,4,100.04,11,BUY
13,17,99.94,19,SELL
3,17,99.92,52,SELL
28,23,100.0,10,BUY
29,23,100.0,53,BUY
29,25,100.09,21,BUY
30,25,100.09,56,BUY
32,31,100.07,8,BUY
32,25,100.09,15,BUY
32,27,100.09,1,BUY
26,37,99.97,16,SELL
33,37,99.97,54,SELL
42,49,100.02,2,SELL
51,49,100.01,47,BUY
52,49,100.01,22,BUY
52,40,100.04,31,BUY
59,40,100.04,23,BUY
59,46,100.04,14,BUY
59,45,100.05,40,BUY
71,45,100.05,46,BUY
82,68,100.06,17,BUY
83,68,100.06,60,BUY
84,68,100.06,10,BUY
84,50,100.07,26,BUY
85,50,100.07,29,BUY
87,50,100.07,15,BUY
90,11,100.1,29,BUY
90,19,100.1,44,BUY
96,19,100.1,21,BUY
96,67,100.1,23,BUY
97,67,100.1,11,BUY
89,100,100.09,46,SELL
101,67,100.1,51,BUY
101,7,100.11,45,BUY
103,7,100.11,2,BUY
103,18,100.11,15,BUY
103,64,100.11,21,BUY
107,64,100.11,20,BUY
110,64,100.11,13,BUY
110,36,100.12,20,BUY
110,63,100.12,47,BUY
112,63,100.12,18,BUY
112,38,100.13,21,BUY
112,57,100.13,50,BUY
131,118,100.1,39,BUY
89,134,100.09,5,SELL
91,134,100.09,2,SELL
87,134,100.08,54,SELL
138,118,100.1,34,BUY
144,118,100.1,14,BUY
144,149,100.1,46,SELL
153,149,100.1,47,BUY
155,149,100.1,3,BUY
155,142,100.11,38,BUY
155,125,100.12,27,BUY
156,57,100.13,2,BUY
156,104,100.13,7,BUY
156,21,100.14,1,BUY
156,143,100.14,22,BUY
156,66,100.15,2,BUY
160,66,100.15,31,BUY
162,66,100.15,24,BUY
162,74,100.16,55,BUY
166,168,100.15,70,SELL
166,169,100.15,28,SELL
179,171,100.13,29,BUY
180,169,100.15,3,BUY
180,74,100.16,3,BUY
180,115,100.16,10,BUY
180,130,100.16,70,BUY
179,185,100.14,43,SELL
187,185,100.13,39,BUY
190,130,100.16,29,BUY
190,147,100.16,31,BUY
194,111,100.17,22,BUY
200,111,100.17,12,BUY
200,151,100.17,69,BUY
201,151,100.17,12,BUY
201,80,100.18,46,BUY
190,202,100.16,38,SELL
191,202,100.16,27,SELL
204,208,100.17,40,SELL
210,80,100.18,23,BUY
210,88,100.18,21,BUY
211,88,100.18,38,BUY
204,215,100.17,4,SELL
191,215,100.16,21,SELL
217,88,100.18,7,BUY
218,88,100.18,34,BUY
218,116,100.18,3,BUY
221,116,100.18,4,BUY
228,116,100.18,50,BUY
228,198,100.18,23,BUY
228,121,100.19,1,BUY
230,121,100.19,44,BUY
230,122,100.19,37,BUY
230,132,100.19,1,BUY
232,132,100.19,44,BUY
234,135,100.19,5,BUY
234,136,100.19,1,BUY
236,136,100.19,12,BUY
236,145,100.19,4,BUY
245,145,100.19,83,BUY
245,177,100.19,12,BUY
255,177,100.19,21,BUY
257,177,100.19,8,BUY
257,197,100.19,31,BUY
257,86,100.2,3,BUY
257,167,100.2,39,BUY
261,167,100.2,38,BUY
261,148,100.21,36,BUY
261,176,100.21,14,BUY
264,176,100.21,35,BUY
267,176,100.21,7,BUY
267,192,100.21,5,BUY
268,192,100.21,46,BUY
274,219,100.21,12,BUY
274,254,100.21,30,BUY
231,275,100.18,31,SELL
237,275,100.18,8,SELL
284,254,100.21,26,BUY
290,163,100.22,31,BUY
290,225,100.22,31,BUY
290,240,100.22,9,BUY
294,240,100.22,5,BUY
296,240,100.22,25,BUY
302,240,100.22,21,BUY
305,240,100.22,34,BUY
305,241,100.22,10,BUY
305,248,100.22,54,BUY
309,248,100.22,34,BUY
309,298,100.22,25,BUY
314,298,100.22,27,BUY
314,92,100.23,43,BUY
317,92,100.23,48,BUY
317,98,100.23,45,BUY
320,98,100.23,13,BUY
320,114,100.23,5,BUY
324,114,100.23,24,BUY
329,114,100.23,39,BUY
333,114,100.23,17,BUY
333,157,100.23,78,BUY
334,157,100.23,4,BUY
334,161,100.23,54,BUY
334,181,100.23,6,BUY
335,181,100.23,8,BUY
335,206,100.23,51,BUY
336,206,100.23,36,BUY
336,207,100.23,34,BUY
337,207,100.23,59,BUY
337,292,100.23,30,BUY
337,93,100.24,9,BUY
338,93,100.24,28,BUY
342,93,100.24,33,BUY
344,93,100.24,12,BUY
345,93,100.24,11,BUY
346,93,100.24,7,BUY
346,184,100.24,45,BUY
