buyer_id,seller_id,price,qty,taker_side
35,13,100.38,37,BUY
35,30,100.38,15,BUY
69,30,100.38,46,BUY
119,68,100.38,14,BUY
177,68,100.38,57,BUY
177,91,100.38,15,BUY
201,91,100.38,32,BUY
201,110,100.38,31,BUY
222,110,100.38,9,BUY
222,117,100.38,36,BUY
282,117,100.38,4,BUY
298,117,100.38,3,BUY
298,131,100.38,10,BUY
298,169,100.38,21,BUY
396,169,100.38,26,BUY
396,212,100.38,22,BUY
396,231,100.38,22,BUY
438,231,100.38,27,BUY
477,231,100.38,7,BUY
478,231,100.38,6,BUY
478,247,100.38,36,BUY
528,247,100.38,9,BUY
528,445,100.38,11,BUY
542,457,100.38,80,BUY
609,563,100.38,94,BUY
738,563,100.38,3,BUY
738,591,100.38,46,BUY
768,591,100.38,1,BUY
768,704,100.38,7,BUY
800,704,100.38,10,BUY
800,728,100.38,38,BUY
805,728,100.38,32,BUY
805,810,100.38,4,BUY
829,810,100.38,76,BUY
829,880,100.38,1,BUY
829,905,100.38,15,BUY
856,905,100.38,1,BUY
856,1015,100.38,29,BUY
856,1100,100.38,25,BUY
993,1100,100.38,46,BUY
993,1197,100.38,4,BUY
1023,1197,100.38,54,BUY
1023,1205,100.38,16,BUY
1023,1213,100.38,22,BUY
1037,1213,100.38,2,BUY
1037,1245,100.38,47,BUY
1037,1318,100.38,15,BUY
1037,1327,100.38,11,BUY
1094,1327,100.38,77,BUY
1094,1460,100.38,3,BUY
1125,1460,100.38,20,BUY
1125,1472,100.38,17,BUY
1125,1498,100.38,10,BUY
1135,1498,100.38,40,BUY
1138,1498,100.38,21,BUY
1138,1508,100.38,55,BUY
1138,1531,100.38,4,BUY
1255,1531,100.38,68,BUY
1295,1531,100.38,19,BUY
1295,1557,100.38,35,BUY
1403,1557,100.38,24,BUY
1439,1557,100.38,6,BUY
1439,1571,100.38,54,BUY
1486,1571,100.38,32,BUY
1486,1631,100.38,2,BUY
1543,1631,100.38,4,BUY
1543,1650,100.38,9,BUY
1591,1650,100.38,27,BUY
1591,1659,100.38,44,BUY
1591,1761,100.38,21,BUY
1591,1772,100.38,6,BUY
1593,1772,100.38,16,BUY
1593,1871,100.38,21,BUY
1687,1871,100.38,16,BUY
1731,1871,100.38,50,BUY
1731,1956,100.38,6,BUY
1770,1956,100.38,11,BUY
1770,1980,100.38,9,BUY
1811,1980,100.38,5,BUY
1932,1980,100.38,26,BUY
1932,1984,100.38,28,BUY
1932,1991,100.38,16,BUY
1933,1991,100.38,33,BUY
1933,162,100.38,37,BUY
1933,193,100.38,17,BUY
