bid,ask
,99.96
,99.96
,
,100.0
99.98,100.0
99.98,100.0
99.98,100.0
99.98,99.99
99.98,99.99
99.98,99.99
99.98,99.99
99.99,100.0
,100.0
,100.0
99.94,100.0
99.94,100.0
99.94,100.0
99.97,100.0
99.97,100.0
99.97,100.0
99.97,100.0
99.97,100.03
99.97,100.03
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.06
99.97,100.09
100.05,100.09
100.05,100.09
100.05,100.11
100.05,100.11
100.05,100.11
100.05,100.11
100.05,100.11
100.05,100.1
100.05,100.1
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.05,100.06
100.02,100.06
100.02,100.06
100.03,100.06
100.02,100.06
100.02,100.06
100.01,100.06
100.03,100.06
100.03,100.06
100.03,100.06
100.03,100.06
100.03,100.06
100.03,100.06
100.03,100.06
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
99.99,100.01
100.02,100.03
100.02,100.03
99.99,100.01
99.98,99.99
99.98,99.99
99.98,99.99
99.98,100.01
99.98,100.01
99.98,100.01
99.98,100.01
99.98,100.01
99.98,100.05
99.98,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
99.97,100.05
100.0,100.05
100.0,100.05
100.0,100.05
100.0,100.04
100.0,100.04
100.0,100.04
100.0,100.04
100.0,100.04
99.99,100.04
99.99,100.04
99.99,100.04
99.99,100.04
99.99,100.04
99.99,100.04
99.97,100.04
100.02,100.04
100.02,100.04
100.02,100.04
99.97,100.04
99.97,100.04
99.97,100.04
99.97,100.03
99.97,100.03
99.97,100.03
99.97,100.03
99.97,100.03
99.96,100.03
99.96,100.03
99.96,100.03
99.96,100.03
99.96,100.03
99.96,100.03
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.96,99.97
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.96,99.98
99.96,99.98
99.96,99.98
99.96,99.98
99.95,99.96
99.95,99.96
99.95,99.96
99.95,99.96
99.94,99.96
99.94,99.96
99.94,99.96
99.94,99.96
99.94,99.96
99.94,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.95
99.93,99.95
99.93,99.95
99.93,99.95
99.93,99.95
99.93,99.95
99.93,99.94
99.93,99.94
99.93,99.94
99.93,99.94
99.93,99.94
99.94,99.95
99.94,99.95
99.94,99.95
99.94,99.95
99.94,99.95
99.94,99.95
99.93,99.95
99.93,99.95
99.93,99.95
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.93,99.96
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.95,99.98
99.95,99.98
99.95,99.98
99.95,99.98
99.95,99.98
99.96,99.98
99.97,99.98
99.97,99.98
99.97,99.99
99.97,99.99
99.97,99.99
99.97,99.99
99.97,99.99
99.97,99.99
99.97,99.99
99.97,100.0
99.97,100.0
99.97,100.0
99.97,100.0
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,99.98
99.97,100.0
99.97,100.0
99.97,100.0
99.97,100.0
99.98,100.0
99.98,100.0
99.98,100.0
99.98,100.0
99.98,100.0
99.98,100.0
99.98,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.0
99.99,100.01
